Date,Adj Close,Close,High,Low,Open,Volume
2025-03-10,5614.56005859375,5614.56005859375,5705.3701171875,5564.02001953125,5705.3701171875,6409370000
2025-03-11,5572.06982421875,5572.06982421875,5636.2998046875,5528.41015625,5603.64990234375,6221240000
2025-03-12,5599.2998046875,5599.2998046875,5642.18994140625,5546.08984375,5624.83984375,5219830000
2025-03-13,5521.52001953125,5521.52001953125,5597.77978515625,5504.64990234375,5594.4501953125,5018980000
2025-03-14,5638.93994140625,5638.93994140625,5645.27001953125,5563.85009765625,5563.85009765625,4863180000
2025-03-17,5675.1201171875,5675.1201171875,5703.52001953125,5631.1201171875,5635.60009765625,5031770000
2025-03-18,5614.66015625,5614.66015625,5654.52978515625,5597.759765625,5654.52978515625,4666270000
2025-03-19,5675.2900390625,5675.2900390625,5715.330078125,5622.2001953125,5632.3701171875,4660090000
2025-03-20,5662.89013671875,5662.89013671875,5711.14990234375,5632.330078125,5646.919921875,4678420000
2025-03-21,5667.56005859375,5667.56005859375,5670.83984375,5603.10009765625,5630.72998046875,9367460000
2025-03-24,5767.56982421875,5767.56982421875,5775.14013671875,5718.080078125,5718.080078125,4517990000
2025-03-25,5776.64990234375,5776.64990234375,5786.9501953125,5760.419921875,5775.9599609375,4467340000
2025-03-26,5712.2001953125,5712.2001953125,5783.6201171875,5694.41015625,5771.66015625,4183140000
2025-03-27,5693.31005859375,5693.31005859375,5732.27978515625,5670.93994140625,5695.64013671875,4403460000
2025-03-28,5580.93994140625,5580.93994140625,5685.89013671875,5572.419921875,5679.2001953125,4513330000
2025-03-31,5611.85009765625,5611.85009765625,5627.56005859375,5488.72998046875,5527.91015625,5257250000
2025-04-01,5633.06982421875,5633.06982421875,5650.56982421875,5558.52001953125,5597.52978515625,4434500000
2025-04-02,5670.97021484375,5670.97021484375,5695.31005859375,5571.47998046875,5580.759765625,4243830000
2025-04-03,5396.52001953125,5396.52001953125,5499.52978515625,5390.830078125,5492.740234375,7210470000
2025-04-04,5074.080078125,5074.080078125,5292.14013671875,5069.89990234375,5292.14013671875,8853500000
2025-04-07,5062.25,5062.25,5246.56982421875,4835.0400390625,4953.7900390625,8691980000
2025-04-08,4982.77001953125,4982.77001953125,5267.47021484375,4910.419921875,5193.56982421875,7408140000
2025-04-09,5456.89990234375,5456.89990234375,5481.33984375,4948.43017578125,4965.27978515625,9489600000
2025-04-10,5268.0498046875,5268.0498046875,5353.14990234375,5115.27001953125,5353.14990234375,6677140000
2025-04-11,5363.35986328125,5363.35986328125,5381.4599609375,5220.77001953125,5255.56005859375,5602550000
2025-04-14,5405.97021484375,5405.97021484375,5459.4599609375,5358.02001953125,5441.9599609375,5031440000
2025-04-15,5396.6298828125,5396.6298828125,5450.41015625,5386.43994140625,5411.990234375,4317110000
2025-04-16,5275.7001953125,5275.7001953125,5367.240234375,5220.7900390625,5335.75,4607750000
2025-04-17,5282.7001953125,5282.7001953125,5328.31005859375,5255.580078125,5305.4501953125,4714880000
2025-04-21,5158.2001953125,5158.2001953125,5232.93994140625,5101.6298828125,5232.93994140625,4226340000
2025-04-22,5287.759765625,5287.759765625,5309.60986328125,5207.669921875,5207.669921875,4666950000
2025-04-23,5375.85986328125,5375.85986328125,5469.68994140625,5356.169921875,5395.919921875,5371390000
2025-04-24,5484.77001953125,5484.77001953125,5489.39990234375,5371.9599609375,5381.3798828125,4697710000
2025-04-25,5525.2099609375,5525.2099609375,5528.10986328125,5455.85986328125,5489.72998046875,4236580000
2025-04-28,5528.75,5528.75,5553.66015625,5468.64013671875,5529.22021484375,4257880000
2025-04-29,5560.830078125,5560.830078125,5571.9501953125,5505.7001953125,5508.8701171875,4747150000
2025-04-30,5569.06005859375,5569.06005859375,5581.83984375,5433.240234375,5499.43994140625,5449490000
2025-05-01,5604.14013671875,5604.14013671875,5658.91015625,5597.35009765625,5625.14013671875,4935270000
2025-05-02,5686.669921875,5686.669921875,5700.7001953125,5642.27978515625,5645.8798828125,4854380000
2025-05-05,5650.3798828125,5650.3798828125,5683.3798828125,5634.47998046875,5655.31982421875,4358260000
2025-05-06,5606.91015625,5606.91015625,5649.580078125,5586.0400390625,5605.8701171875,4717260000
2025-05-07,5631.27978515625,5631.27978515625,5654.72998046875,5578.64013671875,5614.18017578125,4987440000
2025-05-08,5663.93994140625,5663.93994140625,5720.10009765625,5635.3798828125,5663.60009765625,5627400000
2025-05-09,5659.91015625,5659.91015625,5691.68994140625,5644.14990234375,5679.64990234375,4645090000
